salary,age,elevel,car,zipcode,credit,brand
119806.5448,45,Less than High School Degree,Mercedes Benz,South Atlantic,442037.7113,Acer
106880.4784,63,High School Degree,Kia,West South Central,45007.17883,Sony
78020.75094,23,Less than High School Degree,Mitsubishi,East North Central,48795.32279,Acer
63689.93635,51,4-Year College Degree,Dodge,East South Central,40888.87736,Sony
50873.6188,20,4-Year College Degree,Mercedes Benz,South Atlantic,352951.4977,Acer
130812.7428,56,4-Year College Degree,Mercedes Benz,West North Central,135943.022,Sony
136459.3392,24,"Master's, Doctoral or Professional Degree",Honda,East South Central,80500.56351,Sony
103866.8996,62,4-Year College Degree,Cadillac,New England,359803.8935,Sony
72298.80402,29,"Master's, Doctoral or Professional Degree",Ram,New England,276298.6952,Acer
37803.33285,41,High School Degree,Chrysler,South Atlantic,493219.2686,Sony
63704.26156,48,"Master's, Doctoral or Professional Degree",Nissan,East South Central,299460.2274,Sony
128999.9356,52,High School Degree,Dodge,New England,152232.5098,Acer
57991.29599,52,4-Year College Degree,None of the above,South Atlantic,227743.7497,Sony
82474.57645,33,"Master's, Doctoral or Professional Degree",Mazda,West North Central,424657.4967,Acer
63988.96981,62,Some College,Dodge,West North Central,262136.3065,Acer
132310.3604,23,High School Degree,Kia,South Atlantic,451927.6024,Sony
113236.3836,24,Some College,Ford,Mountain,198381.8984,Sony
120525.5994,57,High School Degree,Dodge,East North Central,15964.6837,Acer
121457.6349,50,Some College,Buick,Pacific,415359.2324,Acer
89740.99923,77,Less than High School Degree,Subaru,East North Central,195091.9259,Sony
95142.1181,44,Less than High School Degree,Buick,Pacific,89818.29461,Acer
87383.95734,80,4-Year College Degree,Ford,East South Central,243166.6117,Sony
21143.94206,64,Some College,Kia,East North Central,296635.2507,Sony
34581.64726,55,Less than High School Degree,Mitsubishi,West South Central,185603.2507,Sony
37200.74208,32,4-Year College Degree,Hyundai,West South Central,168547.0761,Sony
60305.50057,58,High School Degree,Chevrolet,South Atlantic,469719.5006,Sony
32839.41644,30,"Master's, Doctoral or Professional Degree",None of the above,Mid-Atlantic,177224.3626,Sony
45070.50666,48,4-Year College Degree,BMW,East South Central,360446.3909,Sony
92417.81235,43,Less than High School Degree,Buick,New England,22677.44642,Acer
107710.3192,75,Less than High School Degree,Nissan,East North Central,209002.4065,Sony
148495.4447,62,Some College,Hyundai,Mid-Atlantic,377495.2951,Sony
78238.12041,70,4-Year College Degree,Honda,New England,80432.57726,Acer
